date,alt,tree,id,bloom
2016-03-31,Prunus ‘Taoyame’,taoyame,110,Prebloom
2016-03-31,Prunus × subhirtella ‘Jugatsu-zakura’,jugatsu_zakura,109,Prebloom
2016-03-31,Prunus ‘Ojochin’,ojochin,108,Prebloom
2016-03-31,Prunus ‘Fudan-zakura’,fudan_zakura,107,First Bloom
2016-03-31,Prunus ‘Hata-zakura’,hatazakura,106,Prebloom
2016-03-31,Prunus × yedoensis ‘Akebono’,akebono,105,First Bloom
2016-03-31,Prunus × subhirtella ‘Rosy Cloud’,rosy_cloud,104,Prebloom
2016-03-31,Prunus ‘Shirotae’,shirotae,103,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,102,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,101,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,100,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,99,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,98,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,97,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,96,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,95,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,94,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,93,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,92,Prebloom
2016-03-31,NA,kuramayama,91,Prebloom
2016-03-31,NA,dawyckensis,90,Prebloom
2016-03-31,Prunus ‘Taoyame’,taoyame,89,Prebloom
2016-03-31,Prunus ‘Spire’,spire,88,Prebloom
2016-03-31,Prunus × incam ‘Okame’,okame,87,Post-Peak Bloom
2016-03-31,Prunus ‘Kanzan’,kanzan,85,Prebloom
2016-03-31,Prunus ‘Spire’,spire,83,Prebloom
2016-03-31,Prunus pendula ‘Pendula plena rosea’,pendula,82,Prebloom
2016-03-31,NA,pendula,81,Prebloom
2016-03-31,Prunus pendula ‘Pendula Rosea’,pendula,80,First Bloom
2016-03-31,Prunus ‘Accolade’,accolade,79,Prebloom
2016-03-31,Prunus pendula ‘Pendula Rosea’,pendula,78,Prebloom
2016-03-31,NA,shirotae,77,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,76,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,75,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,74,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,73,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,72,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,71,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,70,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,69,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,68,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,67,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,66,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,65,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,64,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,63,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,62,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,61,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,60,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,59,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,58,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,57,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,56,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,55,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,54,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,53,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,52,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,51,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,49,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,48,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,47,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,46,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,45,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,44,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,43,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,42,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,41,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,40,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,39,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,38,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,37,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,36,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,35,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,34,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,33,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,32,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,31,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,30,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,29,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,28,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,27,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,26,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,25,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,24,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,23,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,22,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,21,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,20,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,19,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,18,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,17,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,16,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,15,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,14,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,13,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,12,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,11,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,10,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,9,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,8,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,7,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,6,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,5,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,4,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,3,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,2,Prebloom
2016-03-31,Prunus ‘Kanzan’,kanzan,1,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,50,Prebloom
2016-04-01,Prunus ‘Snow Goose’,prunus_snow_goose,147,First Bloom
2016-04-01,Prunus × sieboldii,sieboldii,161,Prebloom
2016-04-01,Prunus × sieboldii,sieboldii,160,Prebloom
2016-04-01,Prunus × subhirtella,subhirtella,159,First Bloom
2016-04-01,Prunus ‘Ukon’,ukon,158,Prebloom
2016-04-01,Prunus serrulata ‘Horinji’,horinji,157,Prebloom
2016-04-01,Prunus × yedoensis,yedoensis,156,Peak Bloom
2016-04-01,Prunus ‘Ariake’,ariake,154,Prebloom
2016-04-01,Prunus ‘Shirotae’,shirotae,153,Prebloom
2016-04-01,Prunus ‘Accolade’,accolade,152,First Bloom
2016-04-01,Prunus ‘Accolade’,accolade,151,First Bloom
2016-04-01,Prunus pendula ‘Pendula Rosea’,pendula,150,Peak Bloom
2016-04-01,Prunus pendula ‘Pendula Rosea’,pendula,149,Peak Bloom
2016-04-01,Prunus pendula ‘Pendula Rosea’,pendula,148,Peak Bloom
2016-04-01,Prunus ‘Shirotae’,shirotae,146,Prebloom
2016-04-01,Prunus ‘Shirotae’,shirotae,145,Prebloom
2016-04-01,Prunus × yedoensis,yedoensis,144,First Bloom
2016-04-01,Prunus pendula ‘Pendula Rosea’,pendula,143,Peak Bloom
2016-04-01,Prunus pendula ‘Pendula Rosea’,pendula,142,Peak Bloom
2016-04-01,Prunus × yedoensis,yedoensis,141,Peak Bloom
2016-04-01,Prunus ‘Shogetsu’,shogetsu,140,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,139,Prebloom
2016-04-01,Prunus × yedoensis,yedoensis,138,Peak Bloom
2016-04-01,Prunus ‘Shogetsu’,shogetsu,137,Prebloom
2016-04-01,Prunus pendula ‘Pendula Rosea’,pendula,135,Peak Bloom
2016-04-01,Prunus pendula ‘Pendula Rosea’,pendula,132,Peak Bloom
2016-04-01,NA,pendula,131,First Bloom
2016-04-01,Prunus pendula ‘Pendula Rosea’,pendula,130,Peak Bloom
2016-04-01,Prunus pendula ‘Pendula Rosea’,pendula,129,Peak Bloom
2016-04-01,Prunus pendula ‘Pendula plena rosea’,pendula,128,Prebloom
2016-04-01,Prunus pendula ‘Pendula Rosea’,pendula,127,Peak Bloom
2016-04-01,Prunus pendula ‘Pendula plena rosea’,yae_beni_shidare,126,First Bloom
2016-04-01,Prunus ‘Fudan-zakura’,fudan_zakura,124,First Bloom
2016-04-01,Prunus ‘Kanzan’,kanzan,123,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,122,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,121,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,120,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,119,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,118,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,117,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,116,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,115,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,114,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,113,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,112,Prebloom
2016-04-01,Prunus ‘Taoyame’,taoyame,110,Prebloom
2016-04-01,Prunus × subhirtella ‘Jugatsu-zakura’,jugatsu_zakura,109,First Bloom
2016-04-01,Prunus ‘Ojochin’,ojochin,108,Prebloom
2016-04-01,Prunus ‘Fudan-zakura’,fudan_zakura,107,First Bloom
2016-04-01,Prunus ‘Hata-zakura’,hatazakura,106,Prebloom
2016-04-01,Prunus × yedoensis ‘Akebono’,akebono,105,Peak Bloom
2016-04-01,Prunus × subhirtella ‘Rosy Cloud’,rosy_cloud,104,First Bloom
2016-04-01,Prunus ‘Shirotae’,shirotae,103,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,102,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,101,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,100,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,99,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,98,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,97,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,96,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,95,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,94,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,93,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,92,Prebloom
2016-04-01,NA,kuramayama,91,Prebloom
2016-04-01,NA,dawyckensis,90,Prebloom
2016-04-01,Prunus ‘Taoyame’,taoyame,89,Prebloom
2016-04-01,Prunus ‘Spire’,spire,88,First Bloom
2016-04-01,Prunus × incam ‘Okame’,okame,87,Post-Peak Bloom
2016-04-01,Prunus ‘Kanzan’,kanzan,85,Prebloom
2016-04-01,Prunus ‘Spire’,spire,83,Prebloom
2016-04-01,Prunus pendula ‘Pendula plena rosea’,pendula,82,Prebloom
2016-04-01,NA,pendula,81,Prebloom
2016-04-01,Prunus pendula ‘Pendula Rosea’,pendula,80,Peak Bloom
2016-04-01,Prunus ‘Accolade’,accolade,79,First Bloom
2016-04-01,Prunus pendula ‘Pendula Rosea’,pendula,78,Prebloom
2016-04-01,NA,shirotae,77,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,76,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,75,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,74,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,73,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,72,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,71,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,70,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,69,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,68,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,67,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,66,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,65,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,64,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,63,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,62,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,61,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,60,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,59,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,58,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,57,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,56,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,55,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,54,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,53,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,52,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,51,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,49,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,48,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,47,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,46,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,45,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,44,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,43,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,42,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,41,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,40,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,39,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,38,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,37,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,36,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,35,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,34,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,33,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,32,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,31,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,30,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,29,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,28,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,27,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,26,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,25,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,24,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,23,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,22,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,21,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,20,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,19,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,18,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,17,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,16,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,15,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,14,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,13,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,12,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,11,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,10,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,9,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,8,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,7,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,6,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,5,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,4,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,3,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,2,Prebloom
2016-04-01,Prunus ‘Kanzan’,kanzan,1,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,50,Prebloom
2016-04-08,Prunus ‘Snow Goose’,prunus_snow_goose,147,Peak Bloom
2016-04-08,Prunus × sieboldii,sieboldii,161,First Bloom
2016-04-08,Prunus × sieboldii,sieboldii,160,First Bloom
2016-04-08,Prunus × subhirtella,subhirtella,159,Peak Bloom
2016-04-08,Prunus ‘Ukon’,ukon,158,Prebloom
2016-04-08,Prunus serrulata ‘Horinji’,horinji,157,Prebloom
2016-04-08,Prunus × yedoensis,yedoensis,156,Peak Bloom
2016-04-08,Prunus ‘Ariake’,ariake,154,Peak Bloom
2016-04-08,Prunus ‘Shirotae’,shirotae,153,First Bloom
2016-04-08,Prunus ‘Accolade’,accolade,152,Peak Bloom
2016-04-08,Prunus ‘Accolade’,accolade,151,Peak Bloom
2016-04-08,Prunus pendula ‘Pendula Rosea’,pendula,150,Peak Bloom
2016-04-08,Prunus pendula ‘Pendula Rosea’,pendula,149,Peak Bloom
2016-04-08,Prunus pendula ‘Pendula Rosea’,pendula,148,Peak Bloom
2016-04-08,Prunus ‘Shirotae’,shirotae,146,First Bloom
2016-04-08,Prunus ‘Shirotae’,shirotae,145,First Bloom
2016-04-08,Prunus × yedoensis,yedoensis,144,Peak Bloom
2016-04-08,Prunus pendula ‘Pendula Rosea’,pendula,143,Peak Bloom
2016-04-08,Prunus pendula ‘Pendula Rosea’,pendula,142,Peak Bloom
2016-04-08,Prunus × yedoensis,yedoensis,141,Peak Bloom
2016-04-08,Prunus ‘Shogetsu’,shogetsu,140,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,139,Prebloom
2016-04-08,Prunus × yedoensis,yedoensis,138,Peak Bloom
2016-04-08,Prunus ‘Shogetsu’,shogetsu,137,Prebloom
2016-04-08,Prunus pendula ‘Pendula Rosea’,pendula,135,Peak Bloom
2016-04-08,Prunus pendula ‘Pendula Rosea’,pendula,132,Peak Bloom
2016-04-08,NA,pendula,131,First Bloom
2016-04-08,Prunus pendula ‘Pendula Rosea’,pendula,130,Peak Bloom
2016-04-08,Prunus pendula ‘Pendula Rosea’,pendula,129,Peak Bloom
2016-04-08,Prunus pendula ‘Pendula plena rosea’,pendula,128,First Bloom
2016-04-08,Prunus pendula ‘Pendula Rosea’,pendula,127,Post-Peak Bloom
2016-04-08,Prunus pendula ‘Pendula plena rosea’,yae_beni_shidare,126,Peak Bloom
2016-04-08,Prunus ‘Fudan-zakura’,fudan_zakura,124,First Bloom
2016-04-08,Prunus ‘Kanzan’,kanzan,123,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,122,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,121,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,120,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,119,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,118,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,117,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,116,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,115,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,114,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,113,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,112,Prebloom
2016-04-08,Prunus ‘Taoyame’,taoyame,110,Prebloom
2016-04-08,Prunus × subhirtella ‘Jugatsu-zakura’,jugatsu_zakura,109,Post-Peak Bloom
2016-04-08,Prunus ‘Ojochin’,ojochin,108,Prebloom
2016-04-08,Prunus ‘Fudan-zakura’,fudan_zakura,107,Peak Bloom
2016-04-08,Prunus ‘Hata-zakura’,hatazakura,106,First Bloom
2016-04-08,Prunus × yedoensis ‘Akebono’,akebono,105,Peak Bloom
2016-04-08,Prunus × subhirtella ‘Rosy Cloud’,rosy_cloud,104,Peak Bloom
2016-04-08,Prunus ‘Shirotae’,shirotae,103,First Bloom
2016-04-08,Prunus ‘Kanzan’,kanzan,102,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,101,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,100,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,99,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,98,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,97,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,96,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,95,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,94,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,93,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,92,Prebloom
2016-04-08,NA,kuramayama,91,Prebloom
2016-04-08,NA,dawyckensis,90,Prebloom
2016-04-08,Prunus ‘Taoyame’,taoyame,89,Prebloom
2016-04-08,Prunus ‘Spire’,spire,88,First Bloom
2016-04-08,Prunus × incam ‘Okame’,okame,87,Post-Peak Bloom
2016-04-08,Prunus ‘Kanzan’,kanzan,85,Prebloom
2016-04-08,Prunus ‘Spire’,spire,83,First Bloom
2016-04-08,Prunus pendula ‘Pendula plena rosea’,pendula,82,First Bloom
2016-04-08,NA,pendula,81,First Bloom
2016-04-08,Prunus pendula ‘Pendula Rosea’,pendula,80,Post-Peak Bloom
2016-04-08,Prunus ‘Accolade’,accolade,79,Peak Bloom
2016-04-08,Prunus pendula ‘Pendula Rosea’,pendula,78,First Bloom
2016-04-08,NA,shirotae,77,First Bloom
2016-04-08,Prunus ‘Kanzan’,kanzan,76,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,75,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,74,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,73,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,72,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,71,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,70,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,69,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,68,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,67,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,66,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,65,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,64,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,63,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,62,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,61,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,60,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,59,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,58,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,57,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,56,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,55,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,54,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,53,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,52,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,51,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,49,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,48,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,47,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,46,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,45,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,44,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,43,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,42,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,41,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,40,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,39,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,38,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,37,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,36,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,35,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,34,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,33,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,32,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,31,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,30,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,29,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,28,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,27,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,26,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,25,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,24,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,23,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,22,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,21,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,20,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,19,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,18,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,17,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,16,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,15,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,14,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,13,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,12,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,11,Prebloom
2016-04-08,Prunus ‘Kanzan’,kanzan,10,Prebloom
